id,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold
63,1522.62,0,0.99,65,"Amazon Digital Services,  Inc.",1538
64,5924.47,0,3.89,66,"Amazon Digital Services,  Inc.",1523
65,12040.93,0,7.99,67,"Amazon Digital Services,  Inc.",1507
66,13413.08,8047.848,8.99,68,Hachette Book Group,1492
67,2907.39,0,1.99,70,"Amazon Digital Services,  Inc.",1461
68,11553.54,6932.124,7.99,71,Penguin Group (USA) LLC,1446
69,5705.7,0,3.99,72,"Amazon Digital Services,  Inc.",1430
70,9890.85,5934.51,6.99,73,Penguin Group (USA) LLC,1415
71,5245.36,3147.216,3.79,75,Hachette Book Group,1384
72,5826.64,3495.984,4.21,75,"Amazon Digital Services,  Inc.",1384
73,2724.31,1634.586,1.99,76,Hachette Book Group,1369
74,5462.31,3277.386,3.99,76,Hachette Book Group,1369
75,6751.47,0,4.99,77,"Amazon Digital Services,  Inc.",1353
76,6676.62,0,4.99,78,"Amazon Digital Services,  Inc.",1338
77,1309.77,785.862,0.99,79,"Amazon Digital Services,  Inc.",1323
78,5933.78,3560.268,4.54,80,HarperCollins Publishers,1307
79,8482.43,5089.458,6.49,80,Hachette Book Group,1307
80,6447.08,3868.248,4.99,81,Random House LLC,1292
81,2539.24,1523.544,1.99,82,HarperCollins Publishers,1276
82,4907.7,0,3.99,85,"Amazon Digital Services,  Inc.",1230
83,1202.85,0,0.99,86,"Amazon Digital Services,  Inc.",1215
84,2417.85,1450.71,1.99,86,HarperCollins Publishers,1215
85,1188,0,0.99,87,"Amazon Digital Services,  Inc.",1200
86,2388,0,1.99,87,"Amazon Digital Services,  Inc.",1200
87,2356.16,1413.696,1.99,88,Macmillan,1184
88,1157.31,694.386,0.99,89,"Amazon Digital Services,  Inc.",1169
89,1157.31,694.386,0.99,89,"Amazon Digital Services,  Inc.",1169
90,1111.77,0,0.99,92,"Amazon Digital Services,  Inc.",1123
91,5603.77,3362.262,4.99,92,"Amazon Digital Services,  Inc.",1123
92,2202.93,1321.758,1.99,93,Macmillan,1107
93,6983.24,4189.944,6.49,95,Random House LLC,1076
94,6885.89,4131.534,6.49,96,Random House LLC,1061
95,1035.54,621.324,0.99,97,"Amazon Digital Services,  Inc.",1046
96,1019.7,0,0.99,98,"Amazon Digital Services,  Inc.",1030
97,6079.85,0,5.99,99,"Amazon Digital Services,  Inc.",1015
98,6932.45,4159.47,6.83,99,Penguin Group (USA) LLC,1015
99,985.05,0,0.99,101,"Amazon Digital Services,  Inc.",995
100,5068.8,3041.28,5.12,102,Penguin Group (USA) LLC,990
101,2195.2,1317.12,2.24,104,"Amazon Digital Services,  Inc.",980
102,7312.5,4387.5,7.5,105,Hachette Book Group,975
103,960.3,0,0.99,106,"Amazon Digital Services,  Inc.",970
104,10224,6134.4,10.65,108,Penguin Group (USA) LLC,960
105,7670.4,4602.24,7.99,108,Penguin Group (USA) LLC,960
106,1880.55,0,1.99,111,"Amazon Digital Services,  Inc.",945
107,4690.6,2814.36,4.99,112,Macmillan,940
108,3730.65,2238.39,3.99,113,Penguin Group (USA) LLC,935
109,1850.7,0,1.99,114,"Amazon Digital Services,  Inc.",930
110,5980,3588,6.5,116,"Amazon Digital Services,  Inc.",920
111,905.85,543.51,0.99,117,Random House LLC,915
112,7759.2,4655.52,8.48,117,"Amazon Digital Services,  Inc.",915
113,900.9,0,0.99,118,"Amazon Digital Services,  Inc.",910
114,895.95,537.57,0.99,119,"Amazon Digital Services,  Inc.",905
115,891,0,0.99,120,"Amazon Digital Services,  Inc.",900
116,5841,3504.6,6.49,120,Macmillan,900
117,10731.05,6438.63,11.99,121,Random House LLC,895
118,2661.1,0,2.99,122,"Amazon Digital Services,  Inc.",890
119,1771.1,1062.66,1.99,122,HarperCollins Publishers,890
120,3531.15,0,3.99,123,"Amazon Digital Services,  Inc.",885
121,6525,3915,7.5,126,Simon and Schuster Digital Sales Inc,870
122,3451.35,0,3.99,127,"Amazon Digital Services,  Inc.",865
123,6871.4,4122.84,7.99,128,Random House LLC,860
124,841.5,504.9,0.99,130,"Amazon Digital Services,  Inc.",850
125,10131.55,6078.93,11.99,131,Hachette Book Group,845
126,6711.6,4026.96,7.99,132,Random House LLC,840
127,816.75,0,0.99,135,"Amazon Digital Services,  Inc.",825
128,1641.75,985.05,1.99,135,HarperCollins Publishers,825
129,5696.85,3418.11,6.99,137,Random House LLC,815
130,2421.9,0,2.99,138,"Amazon Digital Services,  Inc.",810
131,8573.25,5143.95,10.65,139,Penguin Group (USA) LLC,805
132,3192,0,3.99,140,"Amazon Digital Services,  Inc.",800
133,792,475.2,0.99,140,"Amazon Digital Services,  Inc.",800
134,3172.05,0,3.99,141,"Amazon Digital Services,  Inc.",795
135,1572.1,943.26,1.99,142,"Amazon Digital Services,  Inc.",790
136,9412.15,5647.29,11.99,143,Penguin Group (USA) LLC,785
137,3112.2,0,3.99,144,"Amazon Digital Services,  Inc.",780
138,8269.25,4961.55,10.67,145,Simon and Schuster Digital Sales Inc,775
139,1512.4,907.44,1.99,148,HarperCollins Publishers,760
140,3012.45,0,3.99,149,"Amazon Digital Services,  Inc.",755
141,3742.5,0,4.99,150,"Amazon Digital Services,  Inc.",750
142,2992.5,0,3.99,150,"Amazon Digital Services,  Inc.",750
143,3717.55,2230.53,4.99,151,Random House LLC,745
144,2952.6,1771.56,3.99,152,Macmillan,740
145,727.65,0,0.99,153,"Amazon Digital Services,  Inc.",735
146,3642.7,0,4.99,154,"Amazon Digital Services,  Inc.",730
147,5444.75,3266.85,7.51,155,Random House LLC,725
148,712.8,0,0.99,156,"Amazon Digital Services,  Inc.",720
149,702.9,0,0.99,158,"Amazon Digital Services,  Inc.",710
150,697.95,418.77,0.99,159,"Amazon Digital Services,  Inc.",705
151,5593,3355.8,7.99,160,Hachette Book Group,700
152,1353.2,811.92,1.99,164,HarperCollins Publishers,680
153,668.25,400.95,0.99,165,"Amazon Digital Services,  Inc.",675
154,3678.3,2206.98,5.49,166,"Amazon Digital Services,  Inc.",670
155,658.35,395.01,0.99,167,"Amazon Digital Services,  Inc.",665
156,7814.4,4688.64,11.84,168,Random House LLC,660
157,648.45,0,0.99,169,"Amazon Digital Services,  Inc.",655
158,9818.45,5891.07,14.99,169,Random House LLC,655
159,3243.5,0,4.99,170,"Amazon Digital Services,  Inc.",650
160,1943.5,0,2.99,170,"Amazon Digital Services,  Inc.",650
161,3218.55,0,4.99,171,"Amazon Digital Services,  Inc.",645
162,4473.6,2684.16,6.99,172,Random House LLC,640
163,5663.7,3398.22,8.99,174,Simon and Schuster Digital Sales Inc,630
164,608.85,0,0.99,177,"Amazon Digital Services,  Inc.",615
165,603.9,362.34,0.99,178,"Amazon Digital Services,  Inc.",610
166,1210,0,2,179,"Amazon Digital Services,  Inc.",605
167,594,0,0.99,180,"Amazon Digital Services,  Inc.",600
168,3540.25,0,5.95,181,"Amazon Digital Services,  Inc.",595
169,3564.05,2138.43,5.99,181,Penguin Group (USA) LLC,595
170,1174.1,704.46,1.99,182,"Amazon Digital Services,  Inc.",590
171,5200.65,3120.39,8.89,183,Macmillan,585
172,569.25,0,0.99,185,"Amazon Digital Services,  Inc.",575
173,1134.3,0,1.99,186,"Amazon Digital Services,  Inc.",570
174,1659.45,0,2.99,189,"Amazon Digital Services,  Inc.",555
175,4434.45,2660.67,7.99,189,Penguin Group (USA) LLC,555
176,544.5,326.7,0.99,190,"Amazon Digital Services,  Inc.",550
177,534.6,0,0.99,192,"Amazon Digital Services,  Inc.",540
178,2154.6,0,3.99,192,"Amazon Digital Services,  Inc.",540
179,1599.65,959.79,2.99,193,Random House LLC,535
180,524.7,314.82,0.99,194,Macmillan,530
181,1024.85,614.91,1.99,197,"Amazon Digital Services,  Inc.",515
182,1524.9,0,2.99,198,"Amazon Digital Services,  Inc.",510
183,2014.95,1208.97,3.99,199,"Amazon Digital Services,  Inc.",505
184,5433.18,3259.908,10.91,201,Penguin Group (USA) LLC,498
185,1483.04,0,2.99,202,"Amazon Digital Services,  Inc.",496
186,2950.91,1770.546,6.01,205,HarperCollins Publishers,491
187,2445.1,1467.06,4.99,206,Hachette Book Group,490
188,483.12,289.872,0.99,207,"Amazon Digital Services,  Inc.",488
189,2605.92,1563.552,5.34,207,Penguin Group (USA) LLC,488
190,5269.53,3161.718,10.91,210,Penguin Group (USA) LLC,483
191,2057.58,1234.548,4.26,210,HarperCollins Publishing,483
192,476.19,0,0.99,211,"Amazon Digital Services,  Inc.",481
193,475.2,285.12,0.99,212,"Amazon Digital Services,  Inc.",480
194,1429.22,0,2.99,213,"Amazon Digital Services,  Inc.",478
195,5253.22,3151.932,10.99,213,Random House LLC,478
196,1423.24,0,2.99,214,"Amazon Digital Services,  Inc.",476
197,2375.24,1425.144,4.99,214,Hachette Book Group,476
198,470.25,0,0.99,215,"Amazon Digital Services,  Inc.",475
199,470.25,282.15,0.99,215,"Amazon Digital Services,  Inc.",475
200,1399.32,0,2.99,219,"Amazon Digital Services,  Inc.",468
201,461.34,0,0.99,220,"Amazon Digital Services,  Inc.",466
202,1393.34,0,2.99,220,"Amazon Digital Services,  Inc.",466
203,460.35,276.21,0.99,221,Macmillan,465
204,455.4,273.24,0.99,224,Random House LLC,460
205,455.4,0,0.99,224,"Amazon Digital Services,  Inc.",460
206,3643.44,0,7.99,226,"Amazon Digital Services,  Inc.",456
207,1815.45,1089.27,3.99,227,"Amazon Digital Services,  Inc.",455
208,5000.45,3000.27,10.99,227,Simon and Schuster Digital Sales Inc,455
209,5195.91,3117.546,11.47,228,Random House LLC,453
210,448.47,0,0.99,228,"Amazon Digital Services,  Inc.",453
211,2250.49,1350.294,4.99,229,Penguin Group (USA) LLC,451
212,4792.5,2875.5,10.65,230,Random House LLC,450
213,4771.2,2862.72,10.65,231,Penguin Group (USA) LLC,448
214,443.52,266.112,0.99,231,"Amazon Digital Services,  Inc.",448
215,1324.57,794.742,2.99,234,Simon and Schuster Digital Sales Inc,443
216,8811.18,5286.708,19.98,235,Random House LLC,441
217,2175.64,1305.384,4.99,238,Random House LLC,436
218,430.65,0,0.99,239,"Amazon Digital Services,  Inc.",435
219,5191.67,3115.002,11.99,240,Penguin Group (USA) LLC,433
220,2593.67,1556.202,5.99,240,Hachette Book Group,433
221,426.69,256.014,0.99,241,"Amazon Digital Services,  Inc.",431
222,425.7,255.42,0.99,242,Random House LLC,430
223,5107.74,3064.644,11.99,244,Penguin Group (USA) LLC,426
224,3821.22,2292.732,8.97,244,"Amazon Digital Services,  Inc.",426
225,420.75,252.45,0.99,245,Macmillan,425
226,1687.77,0,3.99,246,"Amazon Digital Services,  Inc.",423
227,4473,2683.8,10.65,248,Random House LLC,420
228,413.82,248.292,0.99,249,Macmillan,418
229,411.84,0,0.99,250,"Amazon Digital Services,  Inc.",416
230,2070.85,1242.51,4.99,251,Random House LLC,415
231,2537.9,1522.74,6.19,254,"Amazon Digital Services,  Inc.",410
232,1219.92,0,2.99,255,"Amazon Digital Services,  Inc.",408
233,1685.04,1011.024,4.13,255,"Amazon Digital Services,  Inc.",408
234,2025.94,1215.564,4.99,256,Random House LLC,406
235,2251.8,1351.08,5.56,257,"Amazon Digital Services,  Inc.",405
236,1007.5,604.5,2.5,258,HarperCollins Publishers,403
237,4270.65,2562.39,10.65,259,Penguin Group (USA) LLC,401
238,3180.02,1908.012,7.99,261,Penguin Group (USA) LLC,398
239,392.04,235.224,0.99,262,"Amazon Digital Services,  Inc.",396
240,392.04,235.224,0.99,262,"Amazon Digital Services,  Inc.",396
241,387.09,232.254,0.99,265,"Amazon Digital Services,  Inc.",391
242,2726.1,1635.66,6.99,266,Hachette Book Group,390
243,1154.14,692.484,2.99,268,Macmillan,386
244,766.15,459.69,1.99,269,Random House LLC,385
245,3060.17,1836.102,7.99,270,Penguin Group (USA) LLC,383
246,758.19,0,1.99,271,"Amazon Digital Services,  Inc.",381
247,3013.71,1808.226,7.91,271,"Amazon Digital Services,  Inc.",381
248,1136.2,681.72,2.99,272,Simon and Schuster Digital Sales Inc,380
249,1886.22,1131.732,4.99,273,Penguin Group (USA) LLC,378
250,1124.24,674.544,2.99,274,"Amazon Digital Services,  Inc.",376
251,371.25,0,0.99,275,"Amazon Digital Services,  Inc.",375
252,1871.25,1122.75,4.99,275,Random House LLC,375
253,1488.27,0,3.99,276,"Amazon Digital Services,  Inc.",373
254,1115.27,669.162,2.99,276,Hachette Book Group,373
255,366.3,0,0.99,278,"Amazon Digital Services,  Inc.",370
256,2775,1665,7.5,278,Hachette Book Group,370
257,1100.32,660.192,2.99,279,Random House LLC,368
258,1094.34,0,2.99,280,"Amazon Digital Services,  Inc.",366
259,4388.34,2633.004,11.99,280,Penguin Group (USA) LLC,366
260,4084.35,2450.61,11.19,281,HarperCollins Publishers,365
261,1811.37,0,4.99,282,"Amazon Digital Services,  Inc.",363
262,1085.37,651.222,2.99,282,"Amazon Digital Services,  Inc.",363
263,357.39,214.434,0.99,283,"Amazon Digital Services,  Inc.",361
264,1079.39,647.634,2.99,283,Penguin Group (USA) LLC,361
265,3905.78,2343.468,10.91,285,Random House LLC,358
266,1064.44,638.664,2.99,286,Macmillan,356
267,706.45,423.87,1.99,287,Simon and Schuster Digital Sales Inc,355
268,1049.49,0,2.99,289,"Amazon Digital Services,  Inc.",351
269,347.49,208.494,0.99,289,"Amazon Digital Services,  Inc.",351
270,346.5,0,0.99,290,"Amazon Digital Services,  Inc.",350
271,344.52,0,0.99,291,"Amazon Digital Services,  Inc.",348
272,1031.55,618.93,2.99,293,Simon and Schuster Digital Sales Inc,345
273,1025.57,0,2.99,294,"Amazon Digital Services,  Inc.",343
274,1019.59,0,2.99,295,"Amazon Digital Services,  Inc.",341
275,1019.59,611.754,2.99,295,Simon and Schuster Digital Sales Inc,341
276,3872.6,2323.56,11.39,296,Penguin Group (USA) LLC,340
277,1686.62,0,4.99,297,"Amazon Digital Services,  Inc.",338
278,1676.64,0,4.99,298,"Amazon Digital Services,  Inc.",336
279,666.65,399.99,1.99,299,HarperCollins Publishers,335
280,2620.72,1572.432,7.99,303,Random House LLC,328
281,2875.32,1725.192,8.82,304,Penguin Group (USA) LLC,326
282,1300.74,0,3.99,304,"Amazon Digital Services,  Inc.",326
283,2759.25,1655.55,8.49,305,HarperCollins Publishers,325
284,1611.77,967.062,4.99,306,Simon and Schuster Digital Sales Inc,323
285,2468.49,1481.094,7.69,307,Penguin Group (USA) LLC,321
286,950.82,0,2.99,309,"Amazon Digital Services,  Inc.",318
287,1576.84,0,4.99,310,"Amazon Digital Services,  Inc.",316
288,2044.35,1226.61,6.49,311,Random House LLC,315
289,1874.87,1124.922,5.99,312,Random House LLC,313
290,307.89,184.734,0.99,313,"Amazon Digital Services,  Inc.",311
291,306.9,0,0.99,314,"Amazon Digital Services,  Inc.",310
292,616.9,370.14,1.99,314,"Amazon Digital Services,  Inc.",310
293,2460.92,1476.552,7.99,315,Hachette Book Group,308
294,2152.92,1291.752,6.99,315,Penguin Group (USA) LLC,308
295,10327.3,6196.38,33.86,317,Penguin Group (USA) LLC,305
296,598.99,0,1.99,319,"Amazon Digital Services,  Inc.",301
297,1487.02,892.212,4.99,321,Random House LLC,298
298,891.02,0,2.99,321,"Amazon Digital Services,  Inc.",298
299,1181.04,0,3.99,322,"Amazon Digital Services,  Inc.",296
300,885.04,531.024,2.99,322,"Amazon Digital Services,  Inc.",296
301,1772.95,1063.77,6.01,323,HarperCollins Publishers,295
302,292.05,0,0.99,323,"Amazon Digital Services,  Inc.",295
303,290.07,0,0.99,324,"Amazon Digital Services,  Inc.",293
304,288.09,172.854,0.99,325,HarperCollins Christian Publishing,291
305,3694.6,2216.76,12.74,326,Hachette Book Group,290
306,1149.12,689.472,3.99,327,"Amazon Digital Services,  Inc.",288
307,1707.15,1024.29,5.99,329,Simon and Schuster Digital Sales Inc,285
308,427.5,0,1.5,329,"Amazon Digital Services,  Inc.",285
309,2071.56,1242.936,7.32,330,Hachette Book Group,283
310,1412.17,847.302,4.99,330,Simon and Schuster Digital Sales Inc,283
311,3650.19,2190.114,12.99,331,"Amazon Digital Services,  Inc.",281
312,1387.22,0,4.99,333,"Amazon Digital Services,  Inc.",278
313,1097.25,658.35,3.99,335,Simon and Schuster Digital Sales Inc,275
314,2618.07,1570.842,9.59,336,HarperCollins Publishers,273
315,267.3,0,0.99,338,"Amazon Digital Services,  Inc.",270
316,267.3,0,0.99,338,"Amazon Digital Services,  Inc.",270
317,263.34,0,0.99,340,"Amazon Digital Services,  Inc.",266
318,997.5,0,3.75,340,"Amazon Digital Services,  Inc.",266
319,1719.85,1031.91,6.49,341,Hachette Book Group,265
320,1877.82,1126.692,7.14,342,"Amazon Digital Services,  Inc.",263
321,1041.39,0,3.99,343,"Amazon Digital Services,  Inc.",261
322,777.4,0,2.99,344,"Amazon Digital Services,  Inc.",260
323,771.42,462.852,2.99,345,Simon and Schuster Digital Sales Inc,258
324,1527.45,916.47,5.99,347,Penguin Group (USA) LLC,255
325,997.5,0,3.99,350,"Amazon Digital Services,  Inc.",250
326,997.5,598.5,3.99,350,"Amazon Digital Services,  Inc.",250
327,246.51,147.906,0.99,351,"Amazon Digital Services,  Inc.",249
328,744.51,446.706,2.99,351,Random House LLC,249
329,1635.93,981.558,6.57,352,"Amazon Digital Services,  Inc.",249
330,3221.52,0,12.99,353,"Amazon Digital Services,  Inc.",248
331,741.52,444.912,2.99,354,HarperCollins Publishers,248
332,738.53,0,2.99,355,"Amazon Digital Services,  Inc.",247
333,1141.14,684.684,4.62,356,Penguin Group (USA) LLC,247
334,244.53,146.718,0.99,356,"Amazon Digital Services,  Inc.",247
335,1227.54,736.524,4.99,357,Simon and Schuster Digital Sales Inc,246
336,977.55,0,3.99,359,"Amazon Digital Services,  Inc.",245
337,977.55,586.53,3.99,360,"Amazon Digital Services,  Inc.",245
338,1698.57,1019.142,6.99,363,Hachette Book Group,243
339,726.57,435.942,2.99,364,"Amazon Digital Services,  Inc.",243
340,1494.45,896.67,6.15,364,"Amazon Digital Services,  Inc.",243
341,965.58,0,3.99,366,"Amazon Digital Services,  Inc.",242
342,1202.59,721.554,4.99,367,Simon and Schuster Digital Sales Inc,241
343,2566.65,1539.99,10.65,368,Hachette Book Group,241
344,1197.6,718.56,4.99,370,Simon and Schuster Digital Sales Inc,240
345,236.61,141.966,0.99,371,"Amazon Digital Services,  Inc.",239
346,953.61,0,3.99,372,"Amazon Digital Services,  Inc.",239
347,1544.62,926.772,6.49,373,Random House LLC,238
348,1419.63,851.778,5.99,375,Random House LLC,237
349,471.63,0,1.99,376,"Amazon Digital Services,  Inc.",237
350,1182.63,709.578,4.99,376,Random House LLC,237
351,708.63,0,2.99,376,"Amazon Digital Services,  Inc.",237
352,1885.64,1131.384,7.99,378,HarperCollins Christian Publishing,236
353,1642.65,985.59,6.99,380,Penguin Group (USA) LLC,235
354,933.66,560.196,3.99,381,"Amazon Digital Services,  Inc.",234
355,463.67,278.202,1.99,383,Simon and Schuster Digital Sales Inc,233
356,461.68,277.008,1.99,385,HarperCollins Publishers,6264
357,925.68,0,3.99,385,"Amazon Digital Services,  Inc.",6264
358,2460.15,1476.09,10.65,387,Random House LLC,6237
359,690.69,414.414,2.99,388,HarperCollins Publishers,6237
360,687.7,412.62,2.99,389,Macmillan,6210
361,2509.3,1505.58,10.91,389,Random House LLC,6210
362,226.71,0,0.99,391,"Amazon Digital Services,  Inc.",6183
363,1142.71,0,4.99,392,"Amazon Digital Services,  Inc.",6183
364,909.72,0,3.99,393,"Amazon Digital Services,  Inc.",6156
365,5902.92,3541.752,25.89,393,HarperCollins Publishers,6156
366,1468.69,881.214,6.47,395,"Amazon Digital Services,  Inc.",6129
367,223.74,134.244,0.99,397,"Amazon Digital Services,  Inc.",6102
368,1188.76,713.256,5.26,398,"Amazon Digital Services,  Inc.",6102
369,897.75,538.65,3.99,400,"Amazon Digital Services,  Inc.",6075
370,221.76,0,0.99,401,"Amazon Digital Services,  Inc.",6048
371,1274.56,764.736,5.69,401,"Amazon Digital Services,  Inc.",6048
372,1112.77,0,4.99,403,"Amazon Digital Services,  Inc.",6021
373,1781.77,1069.062,7.99,404,Penguin Group (USA) LLC,6021
374,1662.78,997.668,7.49,406,Penguin Group (USA) LLC,5994
375,660.79,396.474,2.99,408,Simon and Schuster Digital Sales Inc,5967
376,437.8,262.68,1.99,409,Random House LLC,5940
377,3955.6,2373.36,17.98,409,"Amazon Digital Services,  Inc.",5940
378,2067.36,1240.416,9.44,411,"Amazon Digital Services,  Inc.",5913
379,1311.81,787.086,5.99,412,Macmillan,5913
380,433.82,260.292,1.99,413,"Amazon Digital Services,  Inc.",5886
381,2177.82,1306.692,9.99,414,"Amazon Digital Services,  Inc.",5886
382,1864.03,1118.418,8.59,415,Hachette Book Group,5859
383,214.83,128.898,0.99,416,"Amazon Digital Services,  Inc.",5859
384,2311.05,1386.63,10.65,416,Random House LLC,5859
385,1072.85,0,4.99,419,"Amazon Digital Services,  Inc.",5805
386,1717.85,1030.71,7.99,419,Random House LLC,5805
387,642.85,385.71,2.99,420,"Amazon Digital Services,  Inc.",5805
388,1281.86,0,5.99,421,"Amazon Digital Services,  Inc.",5778
389,849.87,509.922,3.99,423,"Amazon Digital Services,  Inc.",5751
390,423.87,254.322,1.99,423,HarperCollins Publishers,5751
391,1062.87,637.722,4.99,424,Hachette Book Group,5751
392,1693.88,1016.328,7.99,425,Penguin Group (USA) LLC,5724
393,1080.32,648.192,5.12,427,Random House LLC,5697
394,630.89,0,2.99,428,"Amazon Digital Services,  Inc.",5697
395,2007.6,1204.56,9.56,430,Simon and Schuster Digital Sales Inc,5670
396,833.91,0,3.99,431,"Amazon Digital Services,  Inc.",5643
397,206.91,124.146,0.99,432,"Amazon Digital Services,  Inc.",5643
398,621.92,0,2.99,433,"Amazon Digital Services,  Inc.",5616
399,205.92,0,0.99,433,"Amazon Digital Services,  Inc.",5616
400,1245.92,747.552,5.99,434,Random House LLC,5616
401,1032.93,0,4.99,436,"Amazon Digital Services,  Inc.",5589
402,2457.95,1474.77,11.99,439,Penguin Group (USA) LLC,5535
403,1621.97,973.182,7.99,444,Penguin Group (USA) LLC,5481
404,1703.17,1021.902,8.39,444,Random House LLC,5481
405,603.98,0,2.99,445,"Amazon Digital Services,  Inc.",5454
406,603.98,0,2.99,445,"Amazon Digital Services,  Inc.",5454
407,600.99,360.594,2.99,447,Simon and Schuster Digital Sales Inc,5427
408,198.99,119.394,0.99,447,"Amazon Digital Services,  Inc.",5427
409,399.99,239.994,1.99,448,Hachette Book Group,5427
410,500,300,2.5,449,HarperCollins Publishers,5400
411,1898,0,9.49,450,"Amazon Digital Services,  Inc.",5400
412,595.01,0,2.99,452,"Amazon Digital Services,  Inc.",5373
413,196.02,117.612,0.99,453,"Amazon Digital Services,  Inc.",5346
414,790.02,0,3.99,454,"Amazon Digital Services,  Inc.",5346
415,1059.86,635.916,5.38,455,Random House LLC,5319
416,194.04,0,0.99,457,"Amazon Digital Services,  Inc.",5292
417,586.04,0,2.99,458,"Amazon Digital Services,  Inc.",5292
418,1480.05,888.03,7.59,459,Random House LLC,5265
419,583.05,349.83,2.99,460,Simon and Schuster Digital Sales Inc,5265
420,192.06,115.236,0.99,462,HarperCollins Publishers,5238
421,191.07,0,0.99,463,"Amazon Digital Services,  Inc.",5211
422,770.07,0,3.99,463,"Amazon Digital Services,  Inc.",5211
423,1726.08,1035.648,8.99,465,HarperCollins Publishers,5184
424,1468.79,881.274,7.69,468,Penguin Group (USA) LLC,5157
425,948.1,0,4.99,470,"Amazon Digital Services,  Inc.",5130
